nombre,descripcion,clase,potencia
quiver-dance,"Raises the user’s Special Attack, Special Defense, and Speed by one stage each.",0,0
heavy-slam,"Power is higher when the user weighs more than the target, up to a maximum of 120.",0,0
synchronoise,Hits any Pokémon that shares a type with the user.,1,120
electro-ball,"Power is higher when the user has greater Speed than the target, up to a maximum of 150.",0,0
soak,Changes the target’s type to Water.,0,0
flame-charge,Inflicts regular damage.  Raises the user’s Speed by one stage.,1,50
coil,"Raises the user’s Attack, Defense, and accuracy by one stage each.",0,0
low-sweep,Lowers the target’s Speed by one stage.,1,65
acid-spray,Lowers the target’s Special Defense by two stages.,1,40
foul-play,Calculates damage with the target’s attacking stat.,1,95
simple-beam,Changes the target’s ability to Simple.,0,0
entrainment,Copies the user’s ability onto the target.,0,0
after-you,Makes the target act next this turn.,0,0
round,Has double power if it’s used more than once per turn.,1,60
echoed-voice,"Power increases by 100% for each consecutive use by any friendly Pokémon, to a maximum of 200.",1,40
chip-away,Ignores the target’s stat modifiers.,1,70
clear-smog,Removes all of the target’s stat modifiers.,1,50
stored-power,"Power is higher the more the user’s stats have been raised, to a maximum of 31×.",1,20
quick-guard,Prevents any priority moves from hitting friendly Pokémon this turn.,0,0
ally-switch,User switches places with the friendly Pokémon opposite it.,0,0
scald,Has a 30% chance to burn the target.,1,80
shell-smash,"Raises user’s Attack, Special Attack, and Speed by two stages.  Lower user’s Defense and Special Defense by one stage.",0,0
heal-pulse,Heals the target for half its max HP.,0,0
hex,Has double power if the target has a major status ailment.,1,65
sky-drop,"Carries the target high into the air, dodging all attacks against either, and drops it next turn.",1,60
shift-gear,Raises the user’s Attack by one stage and its Speed by two stages.,0,0
circle-throw,Ends wild battles.  Forces trainers to switch Pokémon.,1,60
incinerate,Destroys the target’s held berry.,1,60
quash,Makes the target act last this turn.,0,0
acrobatics,Has double power if the user has no held item.,1,55
reflect-type,User becomes the target’s type.,0,0
retaliate,Has double power if a friendly Pokémon fainted last turn.,1,70
final-gambit,Inflicts damage equal to the user’s remaining HP.  User faints.,0,0
bestow,Gives the user’s held item to the target.,0,0
inferno,Has a 100% chance to burn the target.,1,100
water-pledge,"With Grass Pledge, halves opposing Pokémon’s Speed for four turns.",1,80
fire-pledge,"With Water Pledge, doubles the effect chance of friendly Pokémon’s moves for four turns.",1,80
grass-pledge,"With Fire Pledge, damages opposing Pokémon for 1/8 their max HP every turn for four turns.",1,80
volt-switch,User must switch out after attacking.,1,70
struggle-bug,Has a 100% chance to lower the target’s Special Attack by one stage.,1,50
bulldoze,Has a 100% chance to lower the target’s Speed by one stage.,1,60
frost-breath,Always scores a critical hit.,1,60
dragon-tail,Ends wild battles.  Forces trainers to switch Pokémon.,1,60
work-up,Raises the user’s Attack and Special Attack by one stage each.,0,0
electroweb,Lowers the target’s Speed by one stage.,1,55
wild-charge,User receives 1/4 the damage it inflicts in recoil.,1,90
drill-run,Has an increased chance for a critical hit.,1,80
dual-chop,Hits twice in one turn.,1,40
heart-stamp,Has a 30% chance to make the target flinch.,1,60
horn-leech,Drains half the damage inflicted to heal the user.,1,75
sacred-sword,Ignores the target’s stat modifiers.,1,90
razor-shell,Has a 50% chance to lower the target’s Defense by one stage.,1,75
heat-crash,"Power is higher when the user weighs more than the target, up to a maximum of 120.",0,0
leaf-tornado,Has a 50% chance to lower the target’s accuracy by one stage.,1,65
steamroller,Has a 30% chance to make the target flinch.,1,65
cotton-guard,Raises the user’s Defense by three stages.,0,0
night-daze,Has a 40% chance to lower the target’s accuracy by one stage.,1,85
psystrike,"Inflicts damage based on the target’s Defense, not Special Defense.",1,100
tail-slap,Hits 2-5 times in one turn.,1,25
hurricane,Has a 30% chance to confuse the target.,1,110
head-charge,User receives 1/4 the damage it inflicts in recoil.,1,120
gear-grind,Hits twice in one turn.,1,50
searing-shot,Has a 30% chance to burn the target.,1,100
techno-blast,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",1,120
relic-song,Has a 10% chance to put the target to sleep.,1,75
secret-sword,"Inflicts damage based on the target’s Defense, not Special Defense.",1,85
glaciate,Lowers the target’s Speed by one stage.,1,65
bolt-strike,Has a 20% chance to paralyze the target.,1,130
blue-flare,Has a 20% chance to burn the target.,1,130
fiery-dance,Has a 50% chance to raise the user’s Special Attack by one stage.,1,80
freeze-shock,Requires a turn to charge before attacking.  Has a 30% chance to paralyze the target.,1,140
ice-burn,Requires a turn to charge before attacking.  Has a 30% chance to burn the target.,1,140
snarl,Has a 100% chance to lower the target’s Special Attack by one stage.,1,55
icicle-crash,Has a 30% chance to make the target flinch.,1,85
v-create,"Lowers the user’s Defense, Special Defense, and Speed by one stage each.",1,180
fusion-flare,"With Fusion Bolt, inflicts double damage.",1,100
fusion-bolt,"With Fusion Flare, inflicts double damage.",1,100
flying-press,Deals both fighting and flying-type damage.,1,100
mat-block,Protects all friendly Pokémon from damaging moves.  Only works on the first turn after the user is sent out.,0,0
belch,Can only be used after the user has eaten a berry.,1,120
rototiller,Raises the Attack and Special Attack of all grass Pokémon in battle.,0,0
sticky-web,"Covers the opposing field, lowering opponents’ Speed by one stage upon switching in.",0,0
fell-stinger,Raises the user’s Attack by two stages if it KOs the target.,1,50
phantom-force,"User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.",1,90
trick-or-treat,Adds ghost to the target’s types.,0,0
noble-roar,Lowers the target’s Attack and Special Attack by one stage.,0,0
ion-deluge,Changes all normal moves to electric moves for the rest of the turn.,0,0
parabolic-charge,Heals the user for half the total damage dealt to all targets.,1,65
forests-curse,Adds grass to the target’s types.,0,0
petal-blizzard,Inflicts regular damage.,1,90
freeze-dry,Super-effective against water.,1,70
disarming-voice,Never misses.,1,40
parting-shot,Lowers all targets’ Attack and Special Attack by one stage.  Makes the user switch out.,0,0
topsy-turvy,Inverts the target’s stat modifiers.,0,0
draining-kiss,Drains 75% of the damage inflicted to heal the user.,1,50
crafty-shield,Protects all friendly Pokémon from non-damaging moves.,0,0
flower-shield,Raises the Defense of all grass Pokémon in battle.,0,0
grassy-terrain,"For five turns, heals all Pokémon on the ground for 1/16 max HP each turn and strengthens their grass moves to 1.5× their power.",0,0
misty-terrain,"For five turns, protects all Pokémon on the ground from major status ailments and confusion, and halves the power of incoming dragon moves.",0,0
electrify,Changes the target’s move’s type to electric if it hasn’t moved yet this turn.,0,0
play-rough,Has a 10% chance to lower the target’s Attack by one stage.,1,90
fairy-wind,Inflicts regular damage with no additional effect.,1,40
moonblast,Has a 30% chance to lower the target’s Special Attack by one stage.,1,95
boomburst,Inflicts regular damage.,1,140
fairy-lock,Prevents all Pokémon from fleeing or switching out during the next turn.,0,0
kings-shield,Blocks damaging attacks and lowers attacking Pokémon’s Attack by two stages on contact.  Switches Aegislash to Shield Forme.,0,0
play-nice,Lowers the target’s Attack by one stage.,0,0
confide,Lowers the target’s Special Attack by one stage.,0,0
diamond-storm,Has a 50% chance to raise the user’s Defense by two stages for each target hit.,1,100
steam-eruption,Has a 30% chance to burn the target.,1,110
hyperspace-hole,Ignores and destroys protection effects.,1,80
water-shuriken,Hits 2–5 times.,1,15
mystical-fire,Has a 100% chance to lower the target’s Special Attack by one stage.,1,75
spiky-shield,Blocks damaging attacks and damages attacking Pokémon for 1/8 their max HP.,0,0
aromatic-mist,Raises a selected ally’s Special Defense by one stage.,0,0
eerie-impulse,Lowers the target’s Special Attack by two stages.,0,0
venom-drench,"Lowers the target’s Attack, Special Attack, and Speed by one stage if it is poisoned.",0,0
powder,"Explodes if the target uses a fire move this turn, damaging it for 1/4 its max HP and preventing the move.",0,0
geomancy,"Takes one turn to charge, then raises the user’s Special Attack, Special Defense, and Speed by two stages.",0,0
magnetic-flux,Raises the Defense and Special Defense of all friendly Pokémon with plus or minus by one stage.,0,0
happy-hour,Doubles prize money.,0,0
electric-terrain,"For five turns, prevents all Pokémon on the ground from sleeping and strengthens their electric moves to 1.5× their power.",0,0
dazzling-gleam,Inflicts regular damage with no additional effect.,1,80
celebrate,Does nothing.,0,0
hold-hands,Does nothing.,0,0
baby-doll-eyes,Lowers the target’s Attack by one stage.,0,0
nuzzle,Has a 100% chance to paralyze the target.,1,20
hold-back,Cannot lower the target’s HP below 1.,1,40
infestation,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,20
power-up-punch,Raises the user’s Attack by one stage after inflicting damage.,1,40
oblivion-wing,Drains 75% of the damage inflicted to heal the user.,1,80
thousand-arrows,"Grounds the target, and hits even Flying-type or levitating Pokémon.",1,90
thousand-waves,Prevents the target from leaving battle.,1,90
lands-wrath,Inflicts regular damage with no additional effect.,1,90
light-of-ruin,User receives 1/2 the damage inflicted in recoil.,1,140
origin-pulse,Inflicts regular damage with no additional effect.,1,110
precipice-blades,Inflicts regular damage with no additional effect.,1,120
dragon-ascent,Lowers the user’s Defense and Special Defense by one stage after inflicting damage.,1,120
hyperspace-fury,Ignores and destroys protection effects.,1,100
breakneck-blitz--physical,Inflicts regular damage with no additional effect.,0,0
breakneck-blitz--special,Inflicts regular damage with no additional effect.,0,0
all-out-pummeling--physical,Inflicts regular damage with no additional effect.,0,0
all-out-pummeling--special,Inflicts regular damage with no additional effect.,0,0
supersonic-skystrike--physical,Inflicts regular damage with no additional effect.,0,0
supersonic-skystrike--special,Inflicts regular damage with no additional effect.,0,0
acid-downpour--physical,Inflicts regular damage with no additional effect.,0,0
acid-downpour--special,Inflicts regular damage with no additional effect.,0,0
tectonic-rage--physical,Inflicts regular damage with no additional effect.,0,0
tectonic-rage--special,Inflicts regular damage with no additional effect.,0,0
continental-crush--physical,Inflicts regular damage with no additional effect.,0,0
continental-crush--special,Inflicts regular damage with no additional effect.,0,0
savage-spin-out--physical,Inflicts regular damage with no additional effect.,0,0
savage-spin-out--special,Inflicts regular damage with no additional effect.,0,0
never-ending-nightmare--physical,Inflicts regular damage with no additional effect.,0,0
never-ending-nightmare--special,Inflicts regular damage with no additional effect.,0,0
corkscrew-crash--physical,Inflicts regular damage with no additional effect.,0,0
corkscrew-crash--special,Inflicts regular damage with no additional effect.,0,0
inferno-overdrive--physical,Inflicts regular damage with no additional effect.,0,0
inferno-overdrive--special,Inflicts regular damage with no additional effect.,0,0
hydro-vortex--physical,Inflicts regular damage with no additional effect.,0,0
hydro-vortex--special,Inflicts regular damage with no additional effect.,0,0
bloom-doom--physical,Inflicts regular damage with no additional effect.,0,0
bloom-doom--special,Inflicts regular damage with no additional effect.,0,0
gigavolt-havoc--physical,Inflicts regular damage with no additional effect.,0,0
gigavolt-havoc--special,Inflicts regular damage with no additional effect.,0,0
shattered-psyche--physical,Inflicts regular damage with no additional effect.,0,0
shattered-psyche--special,Inflicts regular damage with no additional effect.,0,0
subzero-slammer--physical,Inflicts regular damage with no additional effect.,0,0
subzero-slammer--special,Inflicts regular damage with no additional effect.,0,0
devastating-drake--physical,Inflicts regular damage with no additional effect.,0,0
devastating-drake--special,Inflicts regular damage with no additional effect.,0,0
black-hole-eclipse--physical,Inflicts regular damage with no additional effect.,0,0
black-hole-eclipse--special,Inflicts regular damage with no additional effect.,0,0
twinkle-tackle--physical,Inflicts regular damage with no additional effect.,0,0
twinkle-tackle--special,Inflicts regular damage with no additional effect.,0,0
catastropika,Inflicts regular damage with no additional effect.,1,210
shore-up,"Heals the user for ½ its max HP, or ⅔ during a sandstorm.",0,0
first-impression,Can only be used as the first move after the user enters battle.,1,90
baneful-bunker,Grants the user protection for the rest of the turn and poisons any Pokémon that tries to use a contact move on it.,0,0
spirit-shackle,Traps the target.,1,80
darkest-lariat,Ignores the target’s stat modifiers.,1,85
sparkling-aria,Cures the target of burns.,1,90
ice-hammer,Lowers user’s Speed by one stage.,1,100
floral-healing,"Heals the target for ½ its max HP, or ⅔ on Grassy Terrain.",0,0
high-horsepower,Inflicts regular damage with no additional effect.,1,95
strength-sap,Heals the user by the target’s current Attack stat and lowers the target’s Attack by one stage.,0,0
solar-blade,Requires a turn to charge before attacking.,1,125
leafage,Inflicts regular damage with no additional effect.,1,40
spotlight,Forces the target’s opponents to aim at the target for the rest of the turn.,0,0
toxic-thread,Poisons the target and lowers its Speed by one stage.,0,0
laser-focus,Guarantees a critical hit with the user’s next move.,0,0
gear-up,Raises the Attack and Special Attack of all friendly Pokémon with plus or minus by one stage.,0,0
throat-chop,Prevents the target from using sound-based moves for two turns.,1,80
pollen-puff,"Damages opponents, but heals allies for 50% of their max HP.",1,90
anchor-shot,Traps the target.,1,80
psychic-terrain,Protects Pokémon on the ground from priority moves and increases the power of their  Psychic moves by 50%.,0,0
lunge,Lowers the target’s Attack by one stage after inflicting damage.,1,80
fire-lash,Lowers the target’s Defense by one stage after inflicting damage.,1,80
power-trip,"Power is higher the more the user’s stats have been raised, to a maximum of 31×.",1,20
burn-up,Removes the user’s fire type after inflicting damage.,1,130
speed-swap,Exchanges the user’s Speed with the target’s.,0,0
smart-strike,Never misses.,1,70
purify,Cures the target of a major status ailment and heals the user for 50% of its max HP.,0,0
revelation-dance,Has the same type as the user.,1,90
core-enforcer,Nullifies the target’s ability if it moves earlier.,1,100
trop-kick,Lowers the target’s Attack by one stage after inflicting damage.,1,70
instruct,Forces the target to repeat its last used move.,0,0
beak-blast,Inflicts a burn on any Pokémon that makes contact before the attack.,1,100
clanging-scales,Lowers the user’s Defense by one stage after inflicting damage.,1,110
dragon-hammer,Inflicts regular damage with no additional effect.,1,90
brutal-swing,Inflicts regular damage with no additional effect.,1,60
aurora-veil,"Reduces damage five turns, but must be used during hail.",0,0
sinister-arrow-raid,Inflicts regular damage with no additional effect.,1,180
malicious-moonsault,Inflicts regular damage with no additional effect.,1,180
oceanic-operetta,Inflicts regular damage with no additional effect.,1,195
guardian-of-alola,Damages the target for 75% of its remaining HP.,0,0
soul-stealing-7-star-strike,Inflicts regular damage with no additional effect.,1,195
stoked-sparksurfer,Has a 100% chance to paralyze the target.,1,175
pulverizing-pancake,Inflicts regular damage with no additional effect.,1,210
extreme-evoboost,Raises all of the user’s stats by two stages.,0,0
genesis-supernova,Changes the terrain to Psychic Terrain after inflicting damage.,1,185
shell-trap,Only inflicts damage if the user was hit by a physical move this turn.,1,150
fleur-cannon,Lowers the user’s Special Attack by two stages after inflicting damage.,1,130
psychic-fangs,Destroys Reflect and Light Screen.,1,85
stomping-tantrum,Has double power if the user’s last move failed.,1,75
shadow-bone,Has a 20% chance to lower the target’s Defense by one stage.,1,85
accelerock,Inflicts regular damage with no additional effect.,1,40
liquidation,Has a 20% chance to lower the target’s Defense by one stage.,1,85
prismatic-laser,User foregoes its next turn to recharge.,1,160
spectral-thief,"Steals the target’s stat increases, then inflicts damage.",1,90
sunsteel-strike,Cannot be disrupted by abilities.,1,100
moongeist-beam,Cannot be disrupted by abilities.,1,100
tearful-look,Lowers the target’s Attack and Special Attack by one stage.,0,0
zing-zap,Has a 30% chance to make the target flinch.,1,80
natures-madness,Inflicts damage equal to half the target’s HP.,0,0
multi-attack,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",1,120
10-000-000-volt-thunderbolt,Inflicts regular damage with no additional effect.,1,195
mind-blown,"Inflicts damage, and the user takes damage equal to half of its max HP, rounded up.",1,150
plasma-fists,"After inflicting damage, causes all Normal-type moves to become Electric-type for the remainder of the turn.",1,100
photon-geyser,Inflicts regular damage with no additional effect.,1,100
light-that-burns-the-sky,"Inflicts damage using either Attack or Special Attack stat, whichever is higher.",1,200
searing-sunraze-smash,Cannot be disrupted by abilities.,1,200
menacing-moonraze-maelstrom,Cannot be disrupted by abilities.,1,200
lets-snuggle-forever,Inflicts regular damage with no additional effect.,1,190
splintered-stormshards,Inflicts damage and removes any terrain present on the battlefield.,1,190
clangorous-soulblaze,"Inflicts damage to all opposing Pokémon and increases the user’s Attack, Defense, Special Attack, Special Defense, and Speed by one stage each.",1,185
zippy-zap,Inflicts regular damage with no additional effect.,1,80
splishy-splash,Inflicts regular damage with no additional effect.,1,90
floaty-fall,Inflicts regular damage with no additional effect.,1,90
pika-papow,Inflicts regular damage with no additional effect.,0,0
bouncy-bubble,Inflicts regular damage with no additional effect.,1,60
buzzy-buzz,Inflicts regular damage with no additional effect.,1,60
sizzly-slide,Inflicts regular damage with no additional effect.,1,60
glitzy-glow,Inflicts regular damage with no additional effect.,1,80
baddy-bad,Inflicts regular damage with no additional effect.,1,80
sappy-seed,Inflicts regular damage with no additional effect.,1,100
freezy-frost,Inflicts regular damage with no additional effect.,1,100
sparkly-swirl,Inflicts regular damage with no additional effect.,1,120
veevee-volley,Inflicts regular damage with no additional effect.,0,0
double-iron-bash,Hits twice in one turn.,1,60
max-guard,Prevents any moves from hitting the user this turn.,0,0
dynamax-cannon,Sets Light Screen on the user’s side of the field after inflicting damage.,1,100
snipe-shot,Sets Reflect on the user’s side of the field after inflicting damage.,1,80
jaw-lock,Seeds the target after inflicting damage.,1,80
stuff-cheeks,Cures the entire party of major status effects after inflicting damage.,0,0
no-retreat,"Hits twice in one turn, with a 100% chance to make the target flinch.",0,0
tar-shot,Descripción en inglés no encontrada.,0,0
magic-powder,Descripción en inglés no encontrada.,0,0
dragon-darts,Descripción en inglés no encontrada.,1,50
teatime,Descripción en inglés no encontrada.,0,0
octolock,Descripción en inglés no encontrada.,0,0
bolt-beak,Descripción en inglés no encontrada.,1,85
fishious-rend,Descripción en inglés no encontrada.,1,85
court-change,Descripción en inglés no encontrada.,0,0
max-flare,Inflicts regular damage with no additional effect.,1,100
max-flutterby,Inflicts regular damage with no additional effect.,1,10
max-lightning,Inflicts regular damage with no additional effect.,1,10
max-strike,Inflicts regular damage with no additional effect.,1,10
max-knuckle,Inflicts regular damage with no additional effect.,1,10
max-phantasm,Inflicts regular damage with no additional effect.,1,10
max-hailstorm,Inflicts regular damage with no additional effect.,1,10
max-ooze,Inflicts regular damage with no additional effect.,1,10
max-geyser,Inflicts regular damage with no additional effect.,1,10
max-airstream,Inflicts regular damage with no additional effect.,1,10
max-starfall,Inflicts regular damage with no additional effect.,1,10
max-wyrmwind,Inflicts regular damage with no additional effect.,1,10
max-mindstorm,Inflicts regular damage with no additional effect.,1,10
max-rockfall,Inflicts regular damage with no additional effect.,1,10
max-quake,Inflicts regular damage with no additional effect.,1,10
max-darkness,Inflicts regular damage with no additional effect.,1,10
max-overgrowth,Inflicts regular damage with no additional effect.,1,10
max-steelspike,Inflicts regular damage with no additional effect.,1,10
clangorous-soul,Descripción en inglés no encontrada.,0,0
body-press,Descripción en inglés no encontrada.,1,80
decorate,Descripción en inglés no encontrada.,0,0
drum-beating,Has a 100% chance to lower the target’s Speed by one stage.,1,80
snap-trap,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,35
pyro-ball,Has a 10% chance to burn the target.,1,120
behemoth-blade,Descripción en inglés no encontrada.,1,100
behemoth-bash,Descripción en inglés no encontrada.,1,100
aura-wheel,Descripción en inglés no encontrada.,1,110
breaking-swipe,Lowers the target’s Attack by one stage after inflicting damage.,1,60
branch-poke,Inflicts regular damage with no additional effect.,1,40
overdrive,Descripción en inglés no encontrada.,1,80
apple-acid,Descripción en inglés no encontrada.,1,80
grav-apple,Lowers the target’s Defense by one stage after inflicting damage.,1,80
spirit-break,Has a 100% chance to lower the target’s Special Attack by one stage.,1,75
strange-steam,Has a 20% chance to confuse the target.,1,90
life-dew,Descripción en inglés no encontrada.,0,0
obstruct,Descripción en inglés no encontrada.,0,0
false-surrender,Never misses.,1,80
meteor-assault,User foregoes its next turn to recharge.,1,150
eternabeam,User foregoes its next turn to recharge.,1,160
steel-beam,"Inflicts damage, and the user takes damage equal to half of its max HP, rounded up.",1,140
expanding-force,Inflicts regular damage with no additional effect.,1,80
steel-roller,Inflicts regular damage with no additional effect.,1,130
scale-shot,Boosts the user’s Speed and lowers their Defense by one stage after inflicting damage two to five times in a row.,1,25
meteor-beam,Inflicts regular damage with no additional effect.,1,120
shell-side-arm,Inflicts regular damage with no additional effect.,1,90
misty-explosion,Inflicts regular damage with no additional effect.,1,100
grassy-glide,Inflicts regular damage with no additional effect.,1,55
rising-voltage,Inflicts regular damage with no additional effect.,1,70
terrain-pulse,Inflicts regular damage with no additional effect.,1,50
skitter-smack,Inflicts regular damage with no additional effect.,1,70
burning-jealousy,Inflicts regular damage with no additional effect.,1,70
lash-out,Inflicts regular damage with no additional effect.,1,75
poltergeist,Inflicts regular damage with no additional effect.,1,110
corrosive-gas,Inflicts regular damage with no additional effect.,0,0
coaching,Inflicts regular damage with no additional effect.,0,0
flip-turn,Inflicts regular damage with no additional effect.,1,60
triple-axel,Inflicts regular damage with no additional effect.,1,20
dual-wingbeat,Inflicts regular damage with no additional effect.,1,40
scorching-sands,Has a 30% chance to burn the target.,1,70
jungle-healing,Inflicts regular damage with no additional effect.,0,0
wicked-blow,Inflicts regular damage with no additional effect.,1,75
surging-strikes,Inflicts regular damage with no additional effect.,1,25
thunder-cage,Inflicts regular damage with no additional effect.,1,80
dragon-energy,Inflicts regular damage with no additional effect.,1,150
freezing-glare,Inflicts regular damage with no additional effect.,1,90
fiery-wrath,Inflicts regular damage with no additional effect.,1,90
thunderous-kick,Inflicts regular damage with no additional effect.,1,90
glacial-lance,Inflicts regular damage with no additional effect.,1,120
astral-barrage,Inflicts regular damage with no additional effect.,1,120
eerie-spell,Inflicts regular damage with no additional effect.,1,80
dire-claw,Descripción en inglés no encontrada.,1,80
psyshield-bash,Descripción en inglés no encontrada.,1,70
power-shift,Descripción en inglés no encontrada.,0,0
stone-axe,Descripción en inglés no encontrada.,1,65
springtide-storm,Descripción en inglés no encontrada.,1,100
mystical-power,Descripción en inglés no encontrada.,1,70
raging-fury,Descripción en inglés no encontrada.,1,120
wave-crash,Descripción en inglés no encontrada.,1,120
chloroblast,Descripción en inglés no encontrada.,1,150
mountain-gale,Descripción en inglés no encontrada.,1,100
victory-dance,Descripción en inglés no encontrada.,0,0
headlong-rush,Descripción en inglés no encontrada.,1,120
barb-barrage,Descripción en inglés no encontrada.,1,60
esper-wing,Descripción en inglés no encontrada.,1,80
bitter-malice,Descripción en inglés no encontrada.,1,75
shelter,Descripción en inglés no encontrada.,0,0
triple-arrows,Descripción en inglés no encontrada.,1,90
infernal-parade,Descripción en inglés no encontrada.,1,60
ceaseless-edge,Descripción en inglés no encontrada.,1,65
bleakwind-storm,Descripción en inglés no encontrada.,1,100
wildbolt-storm,Descripción en inglés no encontrada.,1,100
sandsear-storm,Descripción en inglés no encontrada.,1,100
lunar-blessing,Descripción en inglés no encontrada.,0,0
take-heart,Descripción en inglés no encontrada.,0,0
tera-blast,Descripción en inglés no encontrada.,1,80
silk-trap,Descripción en inglés no encontrada.,0,0
axe-kick,Descripción en inglés no encontrada.,1,120
last-respects,Descripción en inglés no encontrada.,1,50
lumina-crash,Descripción en inglés no encontrada.,1,80
order-up,Descripción en inglés no encontrada.,1,80
jet-punch,Descripción en inglés no encontrada.,1,60
spicy-extract,Descripción en inglés no encontrada.,0,0
spin-out,Descripción en inglés no encontrada.,1,100
population-bomb,Descripción en inglés no encontrada.,1,20
ice-spinner,Descripción en inglés no encontrada.,1,80
glaive-rush,Descripción en inglés no encontrada.,1,120
revival-blessing,Descripción en inglés no encontrada.,0,0
salt-cure,Descripción en inglés no encontrada.,1,40
triple-dive,Descripción en inglés no encontrada.,1,30
mortal-spin,Descripción en inglés no encontrada.,1,30
doodle,Descripción en inglés no encontrada.,0,0
fillet-away,Descripción en inglés no encontrada.,0,0
kowtow-cleave,Descripción en inglés no encontrada.,1,85
flower-trick,Descripción en inglés no encontrada.,1,70
torch-song,Descripción en inglés no encontrada.,1,80
aqua-step,Descripción en inglés no encontrada.,1,80
raging-bull,Descripción en inglés no encontrada.,1,90
make-it-rain,Descripción en inglés no encontrada.,1,120
psyblade,Descripción en inglés no encontrada.,1,80
hydro-steam,Descripción en inglés no encontrada.,1,80
ruination,Descripción en inglés no encontrada.,1,1
collision-course,Descripción en inglés no encontrada.,1,100
electro-drift,Descripción en inglés no encontrada.,1,100
shed-tail,Descripción en inglés no encontrada.,0,0
chilly-reception,Descripción en inglés no encontrada.,0,0
tidy-up,Descripción en inglés no encontrada.,0,0
snowscape,Descripción en inglés no encontrada.,0,0
pounce,Descripción en inglés no encontrada.,1,50
trailblaze,Descripción en inglés no encontrada.,1,50
chilling-water,Descripción en inglés no encontrada.,1,50
hyper-drill,Descripción en inglés no encontrada.,1,100
twin-beam,Descripción en inglés no encontrada.,1,40
rage-fist,Descripción en inglés no encontrada.,1,50
armor-cannon,Descripción en inglés no encontrada.,1,120
bitter-blade,Descripción en inglés no encontrada.,1,90
double-shock,Descripción en inglés no encontrada.,1,120
gigaton-hammer,Descripción en inglés no encontrada.,1,160
comeuppance,Descripción en inglés no encontrada.,1,1
aqua-cutter,Descripción en inglés no encontrada.,1,70
blazing-torque,Descripción en inglés no encontrada.,1,80
wicked-torque,Descripción en inglés no encontrada.,1,80
noxious-torque,Descripción en inglés no encontrada.,1,100
combat-torque,Descripción en inglés no encontrada.,1,100
magical-torque,Descripción en inglés no encontrada.,1,100
blood-moon,Descripción en inglés no encontrada.,1,140
matcha-gotcha,Descripción en inglés no encontrada.,1,80
syrup-bomb,Descripción en inglés no encontrada.,1,60
ivy-cudgel,Descripción en inglés no encontrada.,1,100
electro-shot,Descripción en inglés no encontrada.,1,130
tera-starstorm,Descripción en inglés no encontrada.,1,120
fickle-beam,Descripción en inglés no encontrada.,1,80
burning-bulwark,Descripción en inglés no encontrada.,0,0
thunderclap,Descripción en inglés no encontrada.,1,70
mighty-cleave,Descripción en inglés no encontrada.,1,95
tachyon-cutter,Descripción en inglés no encontrada.,1,50
hard-press,Descripción en inglés no encontrada.,0,0
dragon-cheer,Descripción en inglés no encontrada.,0,0
alluring-voice,Descripción en inglés no encontrada.,1,80
temper-flare,Descripción en inglés no encontrada.,1,75
supercell-slam,Descripción en inglés no encontrada.,1,100
psychic-noise,Descripción en inglés no encontrada.,1,75
upper-hand,Descripción en inglés no encontrada.,1,65
malignant-chain,Descripción en inglés no encontrada.,1,100
shadow-rush,Has an increased chance for a critical hit in Hyper Mode.,1,55
shadow-blast,Has an increased chance for a critical hit.,1,80
shadow-blitz,Inflicts regular damage with no additional effect.,1,40
shadow-bolt,Has a 10% chance to paralyze the target.,1,75
shadow-break,Inflicts regular damage with no additional effect.,1,75
shadow-chill,Has a 10% chance to freeze the target.,1,75
shadow-end,User receives 1/2 its HP in recoil.,1,120
shadow-fire,Has a 10% chance to burn the target.,1,75
shadow-rave,Inflicts regular damage with no additional effect.,1,70
shadow-storm,Inflicts regular damage with no additional effect.,1,95
shadow-wave,Inflicts regular damage with no additional effect.,1,50
shadow-down,Lowers the target’s Defense by two stages.,0,0
shadow-half,Halves HP of all Pokémon on the field.  Must recharge,0,0
shadow-hold,Prevents the target from leaving battle.,0,0
shadow-mist,Lowers the target’s evasion by two stages.,0,0
shadow-panic,Confuses the target.,0,0
shadow-shed,"Removes Light Screen, Reflect, and Safeguard.",0,0
shadow-sky,Changes the weather to Shadow Sky for five turns.,0,0
